postgres_container  | 
postgres_container  | main: line 319: pkill: command not found
postgres_container  | main: line 320: pkill: command not found
postgres_container  | main: line 321: pkill: command not found
postgres_container  | main: line 322: pkill: command not found
postgres_container  | main: line 323: pkill: command not found
postgres_container  | main: line 324: pkill: command not found
postgres_container  | main: line 325: pkill: command not found
postgres_container  | main: line 326: ps: command not found
postgres_container  | main: line 327: ps: command not found
postgres_container  | main: line 328: ps: command not found
postgres_container  | main: line 236: pkill: command not found
postgres_container  | main: line 237: pkill: command not found
postgres_container  | main: line 238: pkill: command not found
postgres_container  | main: line 329: ps: command not found
postgres_container  | main: line 239: pkill: command not found
postgres_container  | main: line 240: pkill: command not found
postgres_container  | main: line 241: pkill: command not found
postgres_container  | main: line 242: pkill: command not found
postgres_container  | main: line 243: pkill: command not found
postgres_container  | main: line 244: netstat: command not found
postgres_container  | main: line 330: ps: command not found
postgres_container  | main: line 245: ps: command not found
postgres_container  | main: line 331: ps: command not found
postgres_container  | main: line 246: ps: command not found
postgres_container  | md5sum: /tmp/kinsing: No such file or directory
postgres_container  | /tmp/kinsing is not b3039abf2ad5202f4a9363b418002351, actual 
postgres_container  | main: line 247: ps: command not found
postgres_container  | main: line 248: pkill: command not found
postgres_container  | main: line 249: ps: command not found
postgres_container  | chmod: cannot access '/tmp/kinsing': No such file or directory
postgres_container  |   % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
postgres_container  |                                  Dload  Upload   Total   Spent    Left  Speed
postgres_container  |   0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0main: line 250: ps: command not found
postgres_container  | main: line 251: ps: command not found
postgres_container  | main: line 252: ps: command not found
postgres_container  | main: line 253: ps: command not found
postgres_container  | main: line 254: ps: command not found
postgres_container  | main: line 255: pkill: command not found
postgres_container  | main: line 256: pkill: command not found
postgres_container  | main: line 257: ps: command not found
postgres_container  | main: line 258: ps: command not found
postgres_container  |   0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0main: line 259: pkill: command not found
postgres_container  | main: line 260: netstat: command not found
postgres_container  | main: line 261: netstat: command not found
postgres_container  | main: line 262: netstat: command not found
postgres_container  | main: line 263: netstat: command not found
postgres_container  | main: line 264: netstat: command not found
postgres_container  | main: line 265: pkill: command not found
postgres_container  | main: line 266: pkill: command not found
postgres_container  | main: line 267: pkill: command not found
postgres_container  | main: line 268: pkill: command not found
postgres_container  | main: line 269: pkill: command not found
postgres_container  | main: line 270: pkill: command not found
postgres_container  | main: line 271: pkill: command not found
postgres_container  | main: line 272: pkill: command not found
postgres_container  | main: line 273: pkill: command not found
postgres_container  | main: line 274: pkill: command not found
postgres_container  | main: line 275: pkill: command not found
postgres_container  | main: line 277: pkill: command not found
postgres_container  | main: line 278: pkill: command not found
postgres_container  | main: line 279: pkill: command not found
postgres_container  | main: line 280: pkill: command not found
postgres_container  | main: line 281: pkill: command not found
postgres_container  | main: line 282: pkill: command not found
postgres_container  | main: line 283: pkill: command not found
postgres_container  | main: line 284: pkill: command not found
postgres_container  | main: line 285: pkill: command not found
postgres_container  | main: line 286: pkill: command not found
postgres_container  | main: line 287: pkill: command not found
postgres_container  | main: line 288: pkill: command not found
postgres_container  | main: line 289: pkill: command not found
postgres_container  | main: line 290: pkill: command not found
postgres_container  | main: line 291: pkill: command not found
postgres_container  | main: line 292: pkill: command not found
postgres_container  | main: line 293: ps: command not found
postgres_container  | sed: can't read /tmp/.X11-unix/01: No such file or directory
postgres_container  | cat: /tmp/.X11-unix/01: No such file or directory
postgres_container  | sed: can't read /tmp/.X11-unix/11: No such file or directory
postgres_container  | cat: /tmp/.X11-unix/11: No such file or directory
postgres_container  | sed: can't read /tmp/.X11-unix/22: No such file or directory
postgres_container  | cat: /tmp/.X11-unix/22: No such file or directory
postgres_container  | sed: can't read /tmp/.systemd.1: No such file or directory
postgres_container  | cat: /tmp/.systemd.1: No such file or directory
postgres_container  | sed: can't read /tmp/.systemd.2: No such file or directory
postgres_container  | cat: /tmp/.systemd.2: No such file or directory
postgres_container  | sed: can't read /tmp/.systemd.3: No such file or directory
postgres_container  | cat: /tmp/.systemd.3: No such file or directory
postgres_container  | cat: /tmp/.systemd.1: No such file or directory
postgres_container  | kill: usage: kill [-s sigspec | -n signum | -sigspec] pid | jobspec ... or kill -l [sigspec]
postgres_container  | cat: /tmp/.systemd.2: No such file or directory
postgres_container  | kill: usage: kill [-s sigspec | -n signum | -sigspec] pid | jobspec ... or kill -l [sigspec]
postgres_container  | cat: /tmp/.systemd.3: No such file or directory
postgres_container  | kill: usage: kill [-s sigspec | -n signum | -sigspec] pid | jobspec ... or kill -l [sigspec]
postgres_container  | sed: can't read /tmp/.pg_stat.0: No such file or directory
postgres_container  | cat: /tmp/.pg_stat.0: No such file or directory
postgres_container  | sed: can't read /tmp/.pg_stat.1: No such file or directory
postgres_container  | cat: /tmp/.pg_stat.1: No such file or directory
postgres_container  | sed: can't read /var/lib/postgresql/data/./oka.pid: No such file or directory
postgres_container  | cat: /var/lib/postgresql/data/./oka.pid: No such file or directory
postgres_container  | sed: can't read /tmp/.ICE-unix/d: No such file or directory
postgres_container  | cat: /tmp/.ICE-unix/d: No such file or directory
postgres_container  | sed: can't read /tmp/.ICE-unix/m: No such file or directory
postgres_container  | cat: /tmp/.ICE-unix/m: No such file or directory
postgres_container  | main: line 319: pkill: command not found
postgres_container  | main: line 320: pkill: command not found
postgres_container  | main: line 321: pkill: command not found
postgres_container  | main: line 322: pkill: command not found
postgres_container  | main: line 323: pkill: command not found
postgres_container  | main: line 324: pkill: command not found
postgres_container  | main: line 325: pkill: command not found
postgres_container  | main: line 326: ps: command not found
postgres_container  | main: line 327: ps: command not found
postgres_container  | main: line 328: ps: command not found
postgres_container  | main: line 329: ps: command not found
postgres_container  | main: line 330: ps: command not found
postgres_container  | main: line 331: ps: command not found
postgres_container  | /tmp/kinsing is not b3039abf2ad5202f4a9363b418002351, actual d6b63959e7e5ec1547c1681bafd7610d
postgres_container  | chmod: cannot access '/tmp/kinsing': No such file or directory
postgres_container  |   % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
postgres_container  |                                  Dload  Upload   Total   Spent    Left  Speed
postgres_container  |   0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0 13 5828k   13  801k    0     0   795k      0  0:00:07  0:00:01  0:00:06  795k  2 5828k    2  143k    0     0   281k      0  0:00:20 --:--:--  0:00:20  333k 41 5828k   41 2408k    0     0  1173k      0  0:00:04  0:00:02  0:00:02 1172k 13 5828k   13  768k    0     0   498k      0  0:00:11  0:00:01  0:00:10  525k2025-01-17 17:15:56.287 UTC [1556] LOG:  unexpected EOF on client connection with an open transaction
postgres_container  |  97 5828k   97 5657k    0     0  1875k      0  0:00:03  0:00:03 --:--:-- 1875k 32 5828k   32 1915k    0     0   759k      0  0:00:07  0:00:02  0:00:05  784k100 5828k  100 5828k    0     0  1724k      0  0:00:03  0:00:03 --:--:-- 1724k
postgres_container  | /tmp/kinsing is not b3039abf2ad5202f4a9363b418002351, actual 436e8e36cfe1deac7a0e158fca973f9c
postgres_container  |   % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
postgres_container  |                                  Dload  Upload   Total   Spent    Left  Speed
postgres_container  |   0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0 66 5828k   66 3896k    0     0  1114k      0  0:00:05  0:00:03  0:00:02 1140k  4 5828k    4  290k    0     0   474k      0  0:00:12 --:--:--  0:00:12  473k100 5828k  100 5828k    0     0  1390k      0  0:00:04  0:00:04 --:--:-- 1417k
postgres_container  | /tmp/kinsing is not b3039abf2ad5202f4a9363b418002351, actual 6d4cf392162fadf152100f5fb4f70f41
postgres_container  |   % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
postgres_container  |                                  Dload  Upload   Total   Spent    Left  Speed
postgres_container  |   0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0 39 5828k   39 2315k    0     0  1453k      0  0:00:04  0:00:01  0:00:03 1452k  0 5828k    0 41528    0     0   123k      0  0:00:47 --:--:--  0:00:47  123k100 5828k  100 5828k    0     0  2302k      0  0:00:02  0:00:02 --:--:-- 2302k
postgres_container  | /tmp/kinsing is b3039abf2ad5202f4a9363b418002351
postgres_container  | md5sum: /tmp/libsystem.so: No such file or directory
postgres_container  | /tmp/libsystem.so is not ccef46c7edf9131ccffc47bd69eb743b, actual 
postgres_container  | chmod: cannot access '/tmp/libsystem.so': No such file or directory
postgres_container  |   % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
postgres_container  |                                  Dload  Upload   Total   Spent    Left  Speed
